no,control,stimulus,position,ui,response,rt,SR
8,I,M,top,button,down,3121,1
8,I,P,bottom,slider,top,1865,1
8,I,P,bottom,button,top,2279,1
8,I,M,bottom,slider,top,1199,1
8,I,G,top,button,down,1215,1
8,I,M,top,slider,down,1240,1
8,I,G,bottom,button,top,1007,1
8,I,N,bottom,slider,top,1097,1
8,I,G,bottom,button,top,1159,1
8,I,N,bottom,slider,top,1032,1
8,I,G,bottom,button,top,937,1
8,I,G,top,slider,down,1055,1
8,I,G,top,button,down,1040,1
8,I,M,bottom,slider,top,919,1
8,I,M,top,button,down,895,1
8,I,G,bottom,slider,top,719,1
8,I,N,bottom,button,top,857,1
8,I,N,bottom,slider,top,960,1
8,I,G,bottom,button,top,1239,1
8,I,P,bottom,slider,top,1063,1
8,I,G,bottom,button,top,775,1
8,I,M,top,slider,down,927,1
8,I,P,bottom,button,top,903,1
8,I,N,top,slider,down,1032,1
8,I,G,bottom,button,top,808,1
8,I,P,top,slider,down,1048,1
8,I,P,top,button,down,855,1
8,I,G,bottom,slider,top,784,1
8,I,N,top,button,down,1015,1
8,I,G,top,slider,down,753,1
8,I,P,top,button,down,800,1
8,I,N,bottom,slider,top,842,1
8,I,N,bottom,button,top,920,1
8,I,G,top,slider,down,959,1
8,I,P,top,button,down,800,1
8,I,G,top,slider,down,686,1
8,I,N,bottom,button,top,751,1
8,I,N,bottom,slider,top,673,1
8,I,M,bottom,button,top,816,1
8,I,G,bottom,slider,top,959,1
8,I,P,top,button,down,951,1
8,I,P,top,slider,down,738,1
8,I,M,top,button,down,1073,1
8,I,M,bottom,slider,top,871,1
8,I,P,bottom,button,top,911,1
8,I,M,bottom,slider,top,704,1
8,I,N,top,button,down,824,1
8,I,P,top,slider,down,815,1
8,I,M,bottom,button,top,830,1
8,I,P,top,slider,down,871,1
8,I,M,bottom,button,top,1008,1
8,I,M,bottom,slider,top,843,1
8,I,P,bottom,button,top,800,1
8,I,M,top,slider,down,938,1
8,I,M,bottom,button,top,1063,1
8,I,P,top,slider,down,969,1
8,I,N,top,button,down,872,1
8,I,P,top,slider,down,920,1
8,I,N,top,button,down,840,1
8,I,N,bottom,slider,top,601,1
8,I,M,bottom,button,top,809,1
8,I,M,bottom,slider,top,791,1
8,I,P,bottom,button,top,913,1
8,I,N,bottom,slider,top,1065,1
8,I,M,top,button,down,864,1
8,I,N,top,slider,down,2026,1
8,I,P,top,button,down,1040,1
8,I,N,top,slider,down,1863,1
8,I,P,top,button,down,966,1
8,I,G,top,slider,down,766,1
8,I,M,bottom,button,top,887,1
8,I,N,bottom,slider,top,690,1
8,I,N,bottom,button,top,823,1
8,I,G,bottom,slider,top,664,1
8,I,N,bottom,button,top,672,1
8,I,M,bottom,slider,top,783,1
8,I,G,bottom,button,top,776,1
8,I,P,top,slider,down,711,1
8,I,G,bottom,button,top,575,1
8,I,G,top,slider,down,785,1
8,D,M,bottom,button,top,883,1
8,D,P,top,slider,down,653,1
8,D,P,top,button,down,631,1
8,D,M,bottom,slider,top,716,1
8,D,G,top,button,down,908,1
8,D,M,top,slider,down,838,1
8,D,G,bottom,button,top,747,1
8,D,N,bottom,slider,top,854,1
8,D,G,bottom,button,top,701,1
8,D,N,top,slider,down,2514,1
8,D,G,top,button,down,651,1
8,D,G,top,slider,down,719,1
8,D,G,top,button,down,659,1
8,D,M,bottom,slider,top,770,1
8,D,M,bottom,button,top,701,1
8,D,G,top,slider,down,2762,1
8,D,N,bottom,button,top,658,1
8,D,N,bottom,slider,top,803,1
8,D,G,top,button,down,579,1
8,D,P,bottom,slider,top,3903,1
8,D,G,bottom,button,top,782,1
8,D,M,top,slider,down,878,1
8,D,P,bottom,button,top,735,1
8,D,N,top,slider,down,921,1
8,D,G,top,button,down,659,1
8,D,P,bottom,slider,top,696,1
8,D,P,top,button,down,628,1
8,D,G,bottom,slider,top,804,1
8,D,N,bottom,button,top,731,1
8,D,G,top,slider,down,769,1
8,D,P,bottom,button,top,767,1
8,D,N,bottom,slider,top,826,1
8,D,N,top,button,down,599,1
8,D,G,bottom,slider,top,849,1
8,D,P,bottom,button,top,763,1
8,D,G,bottom,slider,top,820,1
8,D,N,top,button,down,672,1
8,D,N,bottom,slider,top,633,1
8,D,M,bottom,button,top,614,1
8,D,G,top,slider,down,623,1
8,D,P,bottom,button,top,591,1
8,D,P,top,slider,down,1914,1
8,D,M,top,button,down,802,1
8,D,M,top,slider,down,643,1
8,D,P,top,button,down,657,1
8,D,M,top,slider,down,635,1
8,D,N,bottom,button,top,585,1
8,D,P,top,slider,down,557,1
8,D,M,top,button,down,678,1
8,D,P,top,slider,down,614,1
8,D,M,top,button,down,538,1
8,D,M,bottom,slider,top,545,1
8,D,P,top,button,down,577,1
8,D,M,top,slider,down,776,1
8,D,M,top,button,down,599,1
8,D,P,top,slider,down,718,1
8,D,N,bottom,button,top,727,1
8,D,P,bottom,slider,top,776,1
8,D,N,top,button,down,872,1
8,D,N,bottom,slider,top,1684,1
8,D,M,bottom,button,top,941,1
8,D,M,bottom,slider,top,612,1
8,D,P,top,button,down,723,1
8,D,N,bottom,slider,top,615,1
8,D,M,top,button,down,711,1
8,D,N,top,slider,down,1837,1
8,D,P,top,button,down,870,1
8,D,N,bottom,slider,top,768,1
8,D,P,top,button,down,865,1
8,D,G,top,slider,down,2071,1
8,D,M,bottom,button,top,656,1
8,D,N,top,slider,down,657,1
8,D,N,bottom,button,top,742,1
8,D,G,bottom,slider,top,646,1
8,D,N,bottom,button,top,729,1
8,D,M,top,slider,down,886,1
8,D,G,top,button,down,698,1
8,D,P,bottom,slider,top,728,1
8,D,G,top,button,down,744,1
8,D,G,top,slider,down,699,1
9,I,P,bottom,button,未互動,null,null
9,I,P,top,slider,down,1743,1
9,I,M,top,button,down,1672,1
9,I,M,bottom,slider,top,975,1
9,I,M,bottom,button,top,1286,1
9,I,G,top,slider,down,960,1
9,I,M,top,button,down,896,1
9,I,N,top,slider,down,1027,1
9,I,G,bottom,button,top,1157,1
9,I,G,top,slider,down,752,1
9,I,M,top,button,down,944,1
9,I,M,bottom,slider,top,933,1
9,I,P,bottom,button,top,1455,1
9,I,M,bottom,slider,top,1000,1
9,I,M,top,button,down,1014,1
9,I,G,top,slider,down,911,1
9,I,P,top,button,down,964,1
9,I,M,top,slider,down,1080,1
9,I,N,top,button,down,799,1
9,I,P,bottom,slider,top,942,1
9,I,M,bottom,button,top,927,1
9,I,N,bottom,slider,top,982,1
9,I,G,top,button,down,895,1
9,I,M,top,slider,down,817,1
9,I,N,bottom,button,top,936,1
9,I,N,top,slider,down,680,1
9,I,G,top,button,down,759,1
9,I,P,bottom,slider,top,934,1
9,I,G,top,button,down,935,1
9,I,N,top,slider,down,769,1
9,I,G,bottom,button,top,873,1
9,I,P,bottom,slider,top,949,1
9,I,N,bottom,button,top,863,1
9,I,G,top,slider,down,785,1
9,I,P,bottom,button,top,785,1
9,I,N,top,slider,down,615,1
9,I,G,top,button,down,751,1
9,I,G,top,slider,down,640,1
9,I,G,top,button,down,798,1
9,I,M,bottom,slider,top,1064,1
9,I,G,bottom,button,top,1174,1
9,I,M,bottom,slider,top,838,1
9,I,G,top,button,down,1039,1
9,I,M,bottom,slider,top,687,1
9,I,P,top,button,down,934,1
9,I,P,top,slider,down,1084,1
9,I,N,bottom,button,top,727,1
9,I,G,top,slider,down,759,1
9,I,G,bottom,button,top,828,1
9,I,M,top,slider,down,802,1
9,I,P,top,button,down,887,1
9,I,N,bottom,slider,top,700,1
9,I,P,bottom,button,top,1375,1
9,I,P,bottom,slider,top,743,1
9,I,N,top,button,down,1062,1
9,I,M,top,slider,down,902,1
9,I,M,bottom,button,top,838,1
9,I,N,bottom,slider,top,714,1
9,I,P,bottom,button,top,911,1
9,I,M,bottom,slider,top,688,1
9,I,N,top,button,down,1166,1
9,I,N,bottom,slider,top,847,1
9,I,N,top,button,down,974,1
9,I,N,bottom,slider,top,847,1
9,I,M,top,button,down,711,1
9,I,P,bottom,slider,top,837,1
9,I,M,bottom,button,top,957,1
9,I,P,bottom,slider,top,866,1
9,I,N,top,button,down,791,1
9,I,P,top,slider,down,1023,1
9,I,G,top,button,down,742,1
9,I,N,bottom,slider,top,670,1
9,I,G,top,button,down,646,1
9,I,P,top,slider,down,849,1
9,I,N,top,button,down,841,1
9,I,N,bottom,slider,top,672,1
9,I,G,top,button,down,698,1
9,I,P,bottom,slider,top,841,1
9,I,P,bottom,button,top,1169,1
9,I,G,top,slider,down,952,1
9,D,P,top,button,down,743,1
9,D,P,top,slider,down,768,1
9,D,M,top,button,down,1750,1
9,D,M,top,slider,down,870,1
9,D,M,bottom,button,top,684,1
9,D,G,top,slider,down,856,1
9,D,M,bottom,button,top,768,1
9,D,N,top,slider,down,747,1
9,D,G,bottom,button,top,752,1
9,D,G,top,slider,down,786,1
9,D,M,top,button,down,1412,1
9,D,M,top,slider,down,869,1
9,D,P,bottom,button,top,1387,1
9,D,M,bottom,slider,top,974,1
9,D,M,bottom,button,top,1406,1
9,D,G,bottom,slider,top,916,1
9,D,P,bottom,button,top,745,1
9,D,M,top,slider,down,887,1
9,D,N,bottom,button,top,733,1
9,D,P,bottom,slider,top,811,1
9,D,M,top,button,down,895,1
9,D,N,top,slider,down,686,1
9,D,G,top,button,down,725,1
9,D,M,bottom,slider,top,742,1
9,D,N,top,button,down,653,1
9,D,N,bottom,slider,top,718,1
9,D,G,top,button,down,678,1
9,D,P,bottom,slider,top,672,1
9,D,G,bottom,button,top,702,1
9,D,N,top,slider,down,688,1
9,D,G,bottom,button,top,712,1
9,D,P,top,slider,down,753,1
9,D,N,top,button,down,666,1
9,D,G,top,slider,down,750,1
9,D,P,top,button,down,1170,1
9,D,N,top,slider,down,768,1
9,D,G,top,button,down,655,1
9,D,G,bottom,slider,top,763,1
9,D,G,top,button,down,727,1
9,D,M,top,slider,down,636,1
9,D,G,top,button,down,641,1
9,D,M,bottom,slider,top,792,1
9,D,G,bottom,button,top,712,1
9,D,M,top,slider,down,1778,1
9,D,P,bottom,button,top,833,1
9,D,P,top,slider,down,759,1
9,D,N,top,button,down,1170,1
9,D,G,top,slider,down,745,1
9,D,G,top,button,down,1100,1
9,D,M,top,slider,down,2007,1
9,D,P,top,button,down,664,1
9,D,N,top,slider,down,1812,1
9,D,P,bottom,button,top,826,1
9,D,P,bottom,slider,top,799,1
9,D,N,bottom,button,top,762,1
9,D,M,top,slider,down,1778,1
9,D,M,top,button,down,758,1
9,D,N,bottom,slider,top,633,1
9,D,P,top,button,down,690,1
9,D,M,top,slider,down,1225,1
9,D,N,bottom,button,top,844,1
9,D,N,top,slider,down,1773,1
9,D,N,bottom,button,top,903,1
9,D,N,top,slider,down,774,1
