no,control,stimulus,position,ui,response,rt,SR
36,I,M,bottom,button,top,1849.0,1.0
36,I,G,bottom,slider,top,1201.0,1.0
36,I,P,top,button,down,2530.0,1.0
36,I,N,bottom,slider,top,1216.0,1.0
36,I,G,top,button,down,1581.0,1.0
36,I,P,bottom,slider,top,982.0,1.0
36,I,N,bottom,button,top,2121.0,1.0
36,I,N,bottom,slider,top,1082.0,1.0
36,I,G,top,button,down,1026.0,1.0
36,I,N,top,slider,down,1012.0,1.0
36,I,N,top,button,down,1044.0,1.0
36,I,N,top,slider,down,1056.0,1.0
36,I,G,bottom,button,top,1210.0,1.0
36,I,G,top,slider,down,1151.0,1.0
36,I,P,top,button,down,1090.0,1.0
36,I,N,top,slider,down,1074.0,1.0
36,I,M,bottom,button,top,1107.0,1.0
36,I,G,bottom,slider,top,1023.0,1.0
36,I,M,bottom,button,top,1055.0,1.0
36,I,G,bottom,slider,top,944.0,1.0
36,I,N,top,button,down,908.0,1.0
36,I,N,bottom,slider,top,1144.0,1.0
36,I,G,bottom,button,top,1641.0,1.0
36,I,G,bottom,slider,top,1039.0,1.0
36,I,P,bottom,button,top,1334.0,1.0
36,I,G,bottom,slider,top,976.0,1.0
36,I,N,top,button,down,877.0,1.0
36,I,M,bottom,slider,top,1114.0,1.0
36,I,N,top,button,down,1341.0,1.0
36,I,N,bottom,slider,top,991.0,1.0
36,I,P,top,button,down,1253.0,1.0
36,I,P,bottom,slider,top,961.0,1.0
36,I,M,bottom,button,top,1010.0,1.0
36,I,M,top,slider,down,1041.0,1.0
36,I,P,top,button,down,873.0,1.0
36,I,M,top,slider,down,1094.0,1.0
36,I,M,bottom,button,top,1273.0,1.0
36,I,G,top,slider,down,1084.0,1.0
36,I,G,top,button,down,1270.0,1.0
36,I,P,bottom,slider,top,1540.0,1.0
36,I,M,bottom,button,top,1127.0,1.0
36,I,M,bottom,slider,top,2811.0,1.0
36,I,M,bottom,button,top,1093.0,1.0
36,I,M,top,slider,down,1162.0,1.0
36,I,N,top,button,down,1623.0,1.0
36,I,G,bottom,slider,top,1376.0,1.0
36,I,M,bottom,button,top,1673.0,1.0
36,I,N,top,slider,down,1152.0,1.0
36,I,P,bottom,button,top,907.0,1.0
36,I,N,top,slider,down,1057.0,1.0
36,I,M,bottom,button,top,991.0,1.0
36,I,P,top,slider,down,1193.0,1.0
36,I,M,bottom,button,top,909.0,1.0
36,I,P,top,slider,down,1020.0,1.0
36,I,M,bottom,button,top,990.0,1.0
36,I,G,bottom,slider,top,1310.0,1.0
36,I,N,top,button,down,974.0,1.0
36,I,P,top,slider,down,1055.0,1.0
36,I,G,top,button,down,1528.0,1.0
36,I,G,bottom,slider,top,1040.0,1.0
36,I,N,top,button,down,1077.0,1.0
36,I,P,bottom,slider,top,842.0,1.0
36,I,P,top,button,down,959.0,1.0
36,I,G,bottom,slider,top,757.0,1.0
36,I,P,top,button,down,1193.0,1.0
36,I,M,top,slider,down,809.0,1.0
36,I,G,bottom,button,top,1562.0,1.0
36,I,M,bottom,slider,top,2360.0,1.0
36,I,P,bottom,button,top,3176.0,1.0
36,I,N,bottom,slider,top,1167.0,1.0
36,I,G,bottom,button,top,1175.0,1.0
36,I,M,top,slider,down,997.0,1.0
36,I,M,top,button,down,1145.0,1.0
36,I,G,bottom,slider,top,1742.0,1.0
36,I,P,top,button,down,1091.0,1.0
36,I,N,top,slider,down,1104.0,1.0
36,I,N,top,button,down,1958.0,1.0
36,I,P,bottom,slider,top,995.0,1.0
36,I,P,bottom,button,top,973.0,1.0
36,I,P,top,slider,down,824.0,1.0
36,D,M,top,button,down,1027.0,1.0
36,D,G,top,slider,down,745.0,1.0
36,D,P,bottom,button,top,809.0,1.0
36,D,N,bottom,slider,top,808.0,1.0
36,D,G,top,button,down,907.0,1.0
36,D,P,top,slider,down,1250.0,1.0
36,D,N,top,button,down,658.0,1.0
36,D,N,top,slider,down,658.0,1.0
36,D,G,bottom,button,top,775.0,1.0
36,D,N,top,slider,down,742.0,1.0
36,D,N,top,button,down,719.0,1.0
36,D,N,top,slider,down,626.0,1.0
36,D,G,top,button,down,635.0,1.0
36,D,G,bottom,slider,top,769.0,1.0
36,D,P,top,button,down,692.0,1.0
36,D,N,bottom,slider,top,642.0,1.0
36,D,M,bottom,button,top,742.0,1.0
36,D,G,bottom,slider,top,691.0,1.0
36,D,M,bottom,button,top,691.0,1.0
36,D,G,top,slider,down,708.0,1.0
36,D,N,top,button,down,1075.0,1.0
36,D,N,bottom,slider,top,640.0,1.0
36,D,G,bottom,button,top,724.0,1.0
36,D,G,top,slider,down,692.0,1.0
36,D,P,bottom,button,top,741.0,1.0
36,D,G,top,slider,down,693.0,1.0
36,D,N,top,button,down,706.0,1.0
36,D,M,bottom,slider,top,642.0,1.0
36,D,N,top,button,down,638.0,1.0
36,D,N,bottom,slider,top,643.0,1.0
36,D,P,top,button,down,693.0,1.0
36,D,P,top,slider,down,643.0,1.0
36,D,M,top,button,down,641.0,1.0
36,D,M,bottom,slider,top,677.0,1.0
36,D,P,bottom,button,top,841.0,1.0
36,D,M,bottom,slider,top,640.0,1.0
36,D,M,bottom,button,top,708.0,1.0
36,D,G,top,slider,down,691.0,1.0
36,D,G,top,button,down,740.0,1.0
36,D,P,top,slider,down,692.0,1.0
36,D,M,top,button,down,758.0,1.0
36,D,M,top,slider,down,658.0,1.0
36,D,M,top,button,down,605.0,1.0
36,D,M,bottom,slider,top,641.0,1.0
36,D,N,bottom,button,top,664.0,1.0
36,D,G,top,slider,down,642.0,1.0
36,D,M,top,button,down,1008.0,1.0
36,D,N,bottom,slider,top,558.0,1.0
36,D,P,bottom,button,top,690.0,1.0
36,D,N,top,slider,down,625.0,1.0
36,D,M,bottom,button,top,724.0,1.0
36,D,P,top,slider,down,628.0,1.0
36,D,M,bottom,button,top,725.0,1.0
