no,control,trials,stimulus,position,ui,response,rt,SR
8,I,1,M,top,button,down,3121,1
8,I,2,P,bottom,slider,top,1865,1
8,I,3,P,bottom,button,top,2279,1
8,I,4,M,bottom,slider,top,1199,1
8,I,5,G,top,button,down,1215,1
8,I,6,M,top,slider,down,1240,1
8,I,7,G,bottom,button,top,1007,1
8,I,8,N,bottom,slider,top,1097,1
8,I,9,G,bottom,button,top,1159,1
8,I,10,N,bottom,slider,top,1032,1
8,I,11,G,bottom,button,top,937,1
8,I,12,G,top,slider,down,1055,1
8,I,13,G,top,button,down,1040,1
8,I,14,M,bottom,slider,top,919,1
8,I,15,M,top,button,down,895,1
8,I,16,G,bottom,slider,top,719,1
8,I,17,N,bottom,button,top,857,1
8,I,18,N,bottom,slider,top,960,1
8,I,19,G,bottom,button,top,1239,1
8,I,20,P,bottom,slider,top,1063,1
8,I,21,G,bottom,button,top,775,1
8,I,22,M,top,slider,down,927,1
8,I,23,P,bottom,button,top,903,1
8,I,24,N,top,slider,down,1032,1
8,I,25,G,bottom,button,top,808,1
8,I,26,P,top,slider,down,1048,1
8,I,27,P,top,button,down,855,1
8,I,28,G,bottom,slider,top,784,1
8,I,29,N,top,button,down,1015,1
8,I,30,G,top,slider,down,753,1
8,I,31,P,top,button,down,800,1
8,I,32,N,bottom,slider,top,842,1
8,I,33,N,bottom,button,top,920,1
8,I,34,G,top,slider,down,959,1
8,I,35,P,top,button,down,800,1
8,I,36,G,top,slider,down,686,1
8,I,37,N,bottom,button,top,751,1
8,I,38,N,bottom,slider,top,673,1
8,I,39,M,bottom,button,top,816,1
8,I,40,G,bottom,slider,top,959,1
8,I,41,P,top,button,down,951,1
8,I,42,P,top,slider,down,738,1
8,I,43,M,top,button,down,1073,1
8,I,44,M,bottom,slider,top,871,1
8,I,45,P,bottom,button,top,911,1
8,I,46,M,bottom,slider,top,704,1
8,I,47,N,top,button,down,824,1
8,I,48,P,top,slider,down,815,1
8,I,49,M,bottom,button,top,830,1
8,I,50,P,top,slider,down,871,1
8,I,51,M,bottom,button,top,1008,1
8,I,52,M,bottom,slider,top,843,1
8,I,53,P,bottom,button,top,800,1
8,I,54,M,top,slider,down,938,1
8,I,55,M,bottom,button,top,1063,1
8,I,56,P,top,slider,down,969,1
8,I,57,N,top,button,down,872,1
8,I,58,P,top,slider,down,920,1
8,I,59,N,top,button,down,840,1
8,I,60,N,bottom,slider,top,601,1
8,I,61,M,bottom,button,top,809,1
8,I,62,M,bottom,slider,top,791,1
8,I,63,P,bottom,button,top,913,1
8,I,64,N,bottom,slider,top,1065,1
8,I,65,M,top,button,down,864,1
8,I,66,N,top,slider,down,2026,1
8,I,67,P,top,button,down,1040,1
8,I,68,N,top,slider,down,1863,1
8,I,69,P,top,button,down,966,1
8,I,70,G,top,slider,down,766,1
8,I,71,M,bottom,button,top,887,1
8,I,72,N,bottom,slider,top,690,1
8,I,73,N,bottom,button,top,823,1
8,I,74,G,bottom,slider,top,664,1
8,I,75,N,bottom,button,top,672,1
8,I,76,M,bottom,slider,top,783,1
8,I,77,G,bottom,button,top,776,1
8,I,78,P,top,slider,down,711,1
8,I,79,G,bottom,button,top,575,1
8,I,80,G,top,slider,down,785,1
8,D,1,M,bottom,button,top,883,1
8,D,2,P,top,slider,down,653,1
8,D,3,P,top,button,down,631,1
8,D,4,M,bottom,slider,top,716,1
8,D,5,G,top,button,down,908,1
8,D,6,M,top,slider,down,838,1
8,D,7,G,bottom,button,top,747,1
8,D,8,N,bottom,slider,top,854,1
8,D,9,G,bottom,button,top,701,1
8,D,10,N,top,slider,down,2514,1
8,D,11,G,top,button,down,651,1
8,D,12,G,top,slider,down,719,1
8,D,13,G,top,button,down,659,1
8,D,14,M,bottom,slider,top,770,1
8,D,15,M,bottom,button,top,701,1
8,D,16,G,top,slider,down,2762,1
8,D,17,N,bottom,button,top,658,1
8,D,18,N,bottom,slider,top,803,1
8,D,19,G,top,button,down,579,1
8,D,20,P,bottom,slider,top,3903,1
8,D,21,G,bottom,button,top,782,1
8,D,22,M,top,slider,down,878,1
8,D,23,P,bottom,button,top,735,1
8,D,24,N,top,slider,down,921,1
8,D,25,G,top,button,down,659,1
8,D,26,P,bottom,slider,top,696,1
8,D,27,P,top,button,down,628,1
8,D,28,G,bottom,slider,top,804,1
8,D,29,N,bottom,button,top,731,1
8,D,30,G,top,slider,down,769,1
8,D,31,P,bottom,button,top,767,1
8,D,32,N,bottom,slider,top,826,1
