control,stimulus,ui,SR_0_count,SR_1_count,total,SR_0_ratio,SR_1_ratio
D,G,button,2,8,10,0.2,0.8
D,G,slider,1,9,10,0.1,0.9
D,M,button,1,12,13,0.07692307692307693,0.9230769230769231
D,M,slider,0,7,7,0.0,1.0
D,N,button,1,6,7,0.14285714285714285,0.8571428571428571
D,N,slider,0,13,13,0.0,1.0
D,P,button,1,9,10,0.1,0.9
D,P,slider,2,8,10,0.2,0.8
I,G,button,0,10,10,0.0,1.0
I,G,slider,0,10,10,0.0,1.0
I,M,button,0,13,13,0.0,1.0
I,M,slider,0,7,7,0.0,1.0
I,N,button,0,7,7,0.0,1.0
I,N,slider,0,13,13,0.0,1.0
I,P,button,0,9,9,0.0,1.0
I,P,slider,0,10,10,0.0,1.0
