control, stimulus, ui    , SR_0_count, SR_1_count, total, SR_0_ratio         , SR_1_ratio
D      , G       , button,          4,          8,    12, 0.3333333333333333 , 0.6666666666666666
D      , G       , slider,          2,          7,     9, 0.2222222222222222 , 0.7777777777777778
D      , M       , button,          3,          4,     7, 0.42857142857142855, 0.5714285714285714
D      , M       , slider,          5,          7,    12, 0.4166666666666667 , 0.5833333333333334
D      , N       , button,          5,          4,     9, 0.5555555555555556 , 0.4444444444444444
D      , N       , slider,          5,          6,    11, 0.45454545454545453, 0.5454545454545454
D      , P       , button,          6,          5,    11, 0.5454545454545454 , 0.45454545454545453
D      , P       , slider,          5,          4,     9, 0.5555555555555556 , 0.4444444444444444
I      , G       , button,          6,          6,    12, 0.5                , 0.5
I      , G       , slider,          2,          6,     8, 0.25               , 0.75
I      , M       , button,          2,          6,     8, 0.25               , 0.75
I      , M       , slider,          1,         11,    12, 0.08333333333333333, 0.9166666666666666
I      , N       , button,          4,          5,     9, 0.4444444444444444 , 0.5555555555555556
I      , N       , slider,          3,          8,    11, 0.2727272727272727 , 0.7272727272727273
I      , P       , button,          4,          7,    11, 0.36363636363636365, 0.6363636363636364
I      , P       , slider,          1,          8,     9, 0.1111111111111111 , 0.8888888888888888
