no ,SR_0_count ,SR_1_count ,total ,SR_0_ratio ,SR_1_ratio
 1 ,         0 ,       160 ,  160 ,     0.0   ,     1.0
10 ,         0 ,       160 ,  160 ,     0.0   ,     1.0
11 ,         4 ,       156 ,  160 ,     0.025 ,     0.975
12 ,         1 ,       159 ,  160 ,     0.006 ,     0.994
13 ,         6 ,       154 ,  160 ,     0.037 ,     0.963
14 ,         0 ,       160 ,  160 ,     0.0   ,     1.0
15 ,         9 ,       151 ,  160 ,     0.056 ,     0.944
16 ,        20 ,       140 ,  160 ,     0.125 ,     0.875
17 ,         1 ,       159 ,  160 ,     0.006 ,     0.994
18 ,        49 ,       111 ,  160 ,     0.306 ,     0.694
19 ,         7 ,       150 ,  157 ,     0.045 ,     0.955
 2 ,         0 ,       160 ,  160 ,     0.0   ,     1.0
20 ,         0 ,       160 ,  160 ,     0.0   ,     1.0
21 ,       154 ,         6 ,  160 ,     0.963 ,     0.037
22 ,         0 ,       160 ,  160 ,     0.0   ,     1.0
23 ,         3 ,       157 ,  160 ,     0.019 ,     0.981
24 ,         0 ,       160 ,  160 ,     0.0   ,     1.0
25 ,        16 ,       144 ,  160 ,     0.1   ,     0.9
26 ,       160 ,         0 ,  160 ,     1.0   ,     0.0
27 ,        46 ,       114 ,  160 ,     0.287 ,     0.713
28 ,         8 ,       151 ,  159 ,     0.05  ,     0.95
29 ,        31 ,       129 ,  160 ,     0.194 ,     0.806
 3 ,        58 ,       102 ,  160 ,     0.362 ,     0.637
30 ,         4 ,       156 ,  160 ,     0.025 ,     0.975
31 ,         3 ,       157 ,  160 ,     0.019 ,     0.981
32 ,         3 ,       157 ,  160 ,     0.019 ,     0.981
33 ,         1 ,       127 ,  128 ,     0.008 ,     0.992
34 ,        29 ,       129 ,  158 ,     0.184 ,     0.816
35 ,         0 ,       160 ,  160 ,     0.0   ,     1.0
36 ,         2 ,       158 ,  160 ,     0.013 ,     0.988
 4 ,        95 ,        65 ,  160 ,     0.594 ,     0.406
 5 ,       160 ,         0 ,  160 ,     1.0   ,     0.0
 6 ,        72 ,        88 ,  160 ,     0.45  ,     0.55
 7 ,         1 ,       159 ,  160 ,     0.006 ,     0.994
 8 ,         0 ,       160 ,  160 ,     0.0   ,     1.0
 9 ,         0 ,       159 ,  159 ,     0.0   ,     1.0
